width,height,TimeToBernsen,TimeToNiblack,TimeToSauvola,TimeToOtsu
376,200,381,102,10,3
960,1280,6480,1700,157,43
2124,3016,33950,8907,827,236
1264,693,4456,1195,113,30
1280,720,4899,1250,116,32
2479,3542,45884,12175,1129,308
2479,3542,45536,12012,1113,300
2479,3542,46595,12119,1142,297
2479,3542,81110,20935,1712,499
2479,3542,81713,21343,1744,462
2479,3542,82027,21029,1716,457
2479,3542,82536,21031,1742,529
2479,3542,82497,21145,1721,564
2479,3542,84121,21618,1730,540
2479,3542,84786,22567,1781,541
2479,3542,84571,23096,1872,547
2479,3542,84315,23582,1878,492
2479,3542,83586,23801,1733,452
2479,3542,84725,22160,1734,531
2479,3542,84974,23268,1905,571
2479,3542,83913,22048,1732,621
2479,3542,85288,22883,1907,696
2479,3542,83899,23826,1747,514
2479,3542,84489,23706,1735,543
2479,3542,83095,21063,1714,468
2479,3542,82648,21133,1727,505
2479,3542,82653,21420,1766,561
2479,3542,82219,21042,1723,475
2479,3542,83067,21526,1750,557
2479,3542,84363,21641,1742,482
2479,3542,82199,21741,1734,516
2479,3542,82439,21861,1723,510
2479,3542,81195,21789,1750,491
2479,3542,83293,21481,1884,469
2479,3542,82737,22370,1799,530
2479,3542,83007,23294,1730,474
2479,3542,81812,21756,1753,472
2479,3542,83985,22347,1817,464
2479,3542,82415,22440,1862,461
2479,3542,83335,23239,1734,488
2479,3542,84082,21149,1757,490
2479,3542,83284,21094,1716,492
2479,3542,82183,21069,1752,480
2479,3542,82526,21692,1731,515
2479,3542,82546,21378,1711,539
2479,3542,82135,21351,1744,583
2479,3542,81613,21906,1746,457
2479,3542,81638,21968,1728,489
2479,3542,81482,20995,1712,469
2479,3542,81928,21019,1711,517
2479,3542,82283,21244,1753,435
2479,3542,81286,21642,1737,503
2479,3542,81583,21333,1728,529
2479,3542,80696,21329,1725,615
2479,3542,81160,21946,1745,462
2479,3542,81151,21082,1732,482
2479,3542,81937,21222,1733,476
2479,3542,81278,21306,1725,490
2479,3542,80844,21394,1716,486
2479,3542,80755,21173,1715,484
2479,3542,83007,22123,1772,471
2479,3542,81271,21814,1722,507
2479,3542,83784,22224,1784,458
2479,3542,82506,21166,1796,468
2479,3542,81924,21196,1722,513
2479,3542,81632,21479,1762,496
2479,3542,81435,21223,1745,487
2479,3542,81249,21335,1740,583
2479,3542,80873,21660,1755,515
2479,3542,81456,21699,1729,464
2479,3542,81712,21969,1730,490
2479,3542,82038,21191,1734,473
2479,3542,82009,21077,1716,544
2479,3542,81602,21107,1727,537
2479,3542,82624,21615,1732,519
2479,3542,82324,21709,1750,478
2479,3542,82445,21513,1728,540
2479,3542,81456,21876,1727,507
2479,3542,81304,22132,1786,482
2479,3542,82018,21056,1764,464
2479,3542,81867,21294,1743,525
2479,3542,81597,21540,1762,488
2479,3542,82282,21525,1725,514
2479,3542,81670,21589,1768,504
2479,3542,80650,21604,1726,538
2479,3542,80784,21605,1741,497
2479,3542,81416,20967,1715,470
2479,3542,82153,21172,1720,467
2479,3542,82116,21263,1716,449
2479,3542,81235,21190,1722,473
2479,3542,81648,21597,1729,525
2479,3542,81740,21463,1728,493
2479,3542,81499,21591,1730,514
2479,3542,81926,21762,1733,498
2479,3542,82330,21071,1752,472
2479,3542,81754,21109,1713,478
2479,3542,82354,21341,1741,461
2479,3542,81804,21153,1722,490
2479,3542,82082,21626,1756,463
2479,3542,81065,21784,1739,462
2479,3542,80686,21542,1727,551
2479,3542,81124,21567,1728,583
2479,3542,82101,21423,1723,515
2479,3542,81328,21144,1713,477
2479,3542,81124,21304,1736,526
2479,3542,81136,21165,1713,535
2479,3542,80648,21584,1730,463
2479,3542,80476,21473,1723,464
2479,3542,81660,21528,1745,500
2479,3542,80814,21454,1736,518
2479,3542,81730,21361,1749,474
2479,3542,81687,21159,1724,467
2479,3542,80945,21118,1719,461
2479,3542,81669,21246,1713,527
2479,3542,80885,21398,1724,465
2479,3542,81221,21530,1738,502
2479,3542,80781,21513,1730,510
2479,3542,81231,21659,1725,514
2479,3542,81207,21382,1721,467
2479,3542,81385,21003,1727,468
2479,3542,84382,21626,1802,586
2479,3542,82109,21594,1753,536
2479,3542,80906,21372,1718,467
2479,3542,81885,21874,1745,469
2479,3542,81412,21465,1730,488
2479,3542,81211,21923,1748,538
2479,3542,80723,21033,1751,467
2479,3542,81256,21107,1719,483
2479,3542,81150,21244,1711,567
2479,3542,80766,21334,1720,547
2479,3542,80160,21410,1712,469
2479,3542,80147,21600,1712,488
2479,3542,81328,21547,1752,472
2479,3542,80906,21792,1733,554
2479,3542,81052,20995,1711,473
2479,3542,81530,21219,1724,487
2479,3542,80444,20982,1709,531
2479,3542,81209,21414,1746,501
2479,3542,80494,21443,1709,515
2479,3542,80413,21470,1710,465
2479,3542,80244,21330,1731,511
2479,3542,82067,22024,1767,462
2479,3542,80729,21113,1751,467
2479,3542,81463,20975,1713,534
2479,3542,80947,21243,1737,473
2479,3542,80484,21047,1710,560
2479,3542,80729,21341,1707,488
2479,3542,80645,21425,1711,488
2479,3542,80298,21792,1720,552
2479,3542,80243,21791,1721,462
2479,3542,80943,20997,1713,475
2479,3542,81144,21054,1713,438
2479,3542,81674,21110,1717,496
2479,3542,81903,21431,1749,559
2479,3542,81343,21327,1734,528
2479,3542,81925,21651,1768,474
2479,3542,81236,21635,1729,471
2479,3542,81545,21710,1749,463
2479,3542,82382,20969,1715,467
2479,3542,82043,21044,1716,528
2479,3542,81699,21095,1724,509
2479,3542,81487,21144,1723,465
2479,3542,81664,21507,1743,487
2479,3542,81384,21492,1716,493
2479,3542,81343,21691,1726,455
2479,3542,81432,21794,1728,471
2479,3542,83068,21106,1746,471
2479,3542,81926,21118,1748,674
2479,3542,82374,21728,1842,567
2479,3542,83018,21683,1868,532
2479,3542,81911,22241,1723,504
2479,3542,81516,22260,1836,484
2479,3542,82021,22179,1748,467
2479,3542,82642,22361,1761,588
2479,3542,83955,21870,1866,525
2479,3542,83787,23128,1816,509
2479,3542,81403,21899,1723,645
2479,3542,83649,21709,1753,457
2479,3542,83842,22513,1723,528
2479,3542,83135,21894,1712,518
2479,3542,82791,22587,1735,463
2479,3542,82635,21068,1712,467
2479,3542,83276,21151,1742,496
2479,3542,82222,21166,1719,482
2479,3542,83227,21252,1738,471
2479,3542,83201,21287,1723,575
2479,3542,82288,21674,1724,515
2479,3542,84626,22605,1765,488
2479,3542,82406,21755,1727,538
2479,3542,82523,21161,1724,452
2479,3542,82965,21045,1730,709
2479,3542,82455,21249,1724,525
2479,3542,81520,22021,1748,468
2479,3542,84086,22143,1807,517
2479,3542,81513,21680,1765,496
2479,3542,83211,22884,1780,528
2479,3542,80663,21630,1716,555
2479,3542,83918,20967,1730,467
2479,3542,82991,21063,1741,527
2479,3542,83337,21213,1720,480
2479,3542,83475,21618,1724,508
2479,3542,80751,21274,1723,468
2479,3542,82259,22104,1718,537
2479,3542,83598,22105,1720,512
2479,3542,84005,21743,1722,461
2479,3542,81237,20975,1715,470
2479,3542,80913,20939,1713,519
2479,3542,80992,21151,1713,504
2479,3542,80503,21226,1723,466
2479,3542,80363,21263,1720,521
2479,3542,80335,21260,1724,466
2479,3542,80256,21628,1719,463
2479,3542,81615,21192,1716,466
2479,3542,81467,20933,1713,491
2479,3542,81281,21096,1721,485
2479,3542,80573,21122,1708,453
2479,3542,80444,21389,1714,551
2479,3542,80265,21370,1711,484
2479,3542,80256,21644,1725,465
2479,3542,80946,21718,1745,520
2479,3542,80646,20934,1711,475
2479,3542,81150,20947,1707,466
2479,3542,80552,21028,1720,559
2479,3542,80491,21148,1714,492
2479,3542,81915,21336,1727,453
2479,3542,80330,21354,1716,506
2479,3542,80224,21599,1713,462
2479,3542,80148,21718,1715,517
2479,3542,81262,20932,1711,471
2479,3542,82395,21043,1717,508
2479,3542,81768,20977,1715,517
2479,3542,81353,21255,1724,516
2479,3542,81314,21233,1726,513
2479,3542,81669,21509,1726,531
2479,3542,80421,21718,1735,487
2479,3542,83426,21700,1740,461
2479,3542,81167,20952,1714,471
2479,3542,80993,21051,1725,495
2479,3542,81910,21519,1763,489
2479,3542,80677,21258,1714,492
2479,3542,81789,21629,1760,512
2479,3542,80191,21440,1721,561
2479,3542,82821,21814,1738,490
2479,3542,80670,21845,1717,465
2479,3542,80703,20938,1709,467
2479,3542,80345,21077,1710,467
2479,3542,80515,21026,1708,521
2479,3542,80229,21235,1717,519
2479,3542,80115,21390,1723,462
2479,3542,81729,21992,1754,471
2479,3542,81946,22040,1757,551
2479,3542,79947,21823,1718,462
2479,3542,81151,21006,1721,468
2479,3542,80413,21020,1709,471
2479,3542,82158,21816,1742,523
2479,3542,82186,21806,1771,462
2479,3542,80179,21264,1710,502
2479,3542,80130,21245,1720,532
2479,3542,80064,21490,1727,607
2479,3542,79917,21624,1720,484
2479,3542,80813,20957,1718,468
2479,3542,80764,21061,1729,467
2479,3542,80487,21045,1709,467
2479,3542,80233,21279,1711,471
2479,3542,80276,21145,1725,462
2479,3542,80109,21277,1710,548
2479,3542,80008,21424,1721,587
2479,3542,79960,21706,1719,463
2479,3542,81170,21168,1745,477
2479,3542,80670,21020,1710,488
2479,3542,81054,21231,1756,462
2479,3542,80262,21233,1703,467
2479,3542,80198,21274,1706,466
2479,3542,81239,21616,1741,468
2479,3542,81482,21653,1750,500
2479,3542,80769,21780,1724,513
2479,3542,81118,20952,1711,468
2479,3542,80777,21037,1709,519
2479,3542,80570,21082,1710,455
2479,3542,80284,21245,1719,463
2479,3542,80263,21236,1718,467
2479,3542,80153,21532,1720,467
2479,3542,80013,21506,1709,492
2479,3542,80078,21778,1720,513
2479,3542,80874,21072,1708,472
2479,3542,80786,21027,1736,489
2479,3542,80666,21087,1721,513
2479,3542,80414,21289,1732,489
2479,3542,80441,21233,1719,490
2479,3542,80188,21473,1732,495
2479,3542,81029,21670,1731,474
2479,3542,80286,21683,1735,485
2479,3542,81521,20959,1718,471
2479,3542,81250,21100,1712,466
2479,3542,80452,21129,1723,491
2479,3542,81785,21138,1725,485
2479,3542,87176,22288,1819,470
2479,3542,81348,21585,1727,511
2479,3542,80848,21538,1729,455
2479,3542,86026,22111,1770,466
2479,3542,81768,20943,1715,473
2479,3542,81323,20998,1716,486
2479,3542,81355,21057,1726,492
2479,3542,80560,21218,1711,526
2479,3542,80409,21422,1710,472
2479,3542,80172,21465,1721,461
2479,3542,80878,21447,1724,482
2479,3542,81104,21876,1727,464
2479,3542,81717,20979,1715,468
2479,3542,82149,21397,1757,469
2479,3542,80364,21090,1711,493
2479,3542,81390,21074,1713,509
2479,3542,80296,21399,1720,461
2479,3542,80176,21438,1723,462
2479,3542,81949,21843,1794,491
2479,3542,80888,21817,1725,462
2479,3542,81731,20948,1714,472
2479,3542,80903,20983,1721,462
2479,3542,80721,21034,1714,435
2479,3542,80741,21048,1715,470
2479,3542,81489,21385,1715,462
2479,3542,81330,21470,1717,463
2479,3542,80707,21636,1722,502
2479,3542,80891,21829,1727,464
2479,3542,81480,20935,1712,466
2479,3542,81172,21065,1712,466
2479,3542,81187,21052,1711,499
2479,3542,81162,21017,1723,510
2479,3542,80917,21379,1715,462
2479,3542,81093,21475,1724,463
2479,3542,80982,21498,1725,513
2479,3542,81418,21701,1727,467
2479,3542,82124,20970,1715,471
2479,3542,81351,21099,1728,468
2479,3542,81093,21046,1716,467
2479,3542,81747,21094,1719,484
2479,3542,81343,21439,1714,467
2479,3542,81357,21401,1725,463
2479,3542,81319,21626,1724,509
2479,3542,81376,21624,1728,463
2479,3542,82155,20958,1716,467
2479,3542,81742,21129,1715,497
2479,3542,81709,21080,1716,502
2479,3542,81568,21068,1716,577
2479,3542,82446,21420,1727,464
2479,3542,81488,21396,1725,485
2479,3542,81443,21722,1718,500
2479,3542,81320,21548,1724,463
2479,3542,82059,20946,1717,466
2479,3542,81813,21090,1716,467
2479,3542,81746,21031,1724,480
2479,3542,81828,21135,1724,492
2479,3542,81403,21381,1716,463
2479,3542,81500,21483,1728,469
2479,3542,81312,21736,1714,504
2479,3542,81184,21811,1725,466
2479,3542,81854,20940,1715,467
2479,3542,81889,21051,1718,469
2479,3542,81787,21081,1731,471
2479,3542,81549,21078,1715,508
2479,3542,81482,21413,1725,469
2479,3542,81420,21564,1714,467
2479,3542,81383,21674,1724,480
2479,3542,81343,21821,1724,462
2479,3542,81979,20953,1714,466
2479,3542,81679,21098,1725,495
2479,3542,81798,20982,1726,495
2479,3542,81542,21049,1715,477
2479,3542,81430,21244,1713,468
2479,3542,81549,21527,1726,464
2479,3542,81511,21703,1729,463
2479,3542,81656,21778,1725,462
2479,3542,81834,21000,1716,467
2479,3542,81577,21127,1714,463
2479,3542,81718,21004,1716,467
2479,3542,81821,21133,1716,542
2479,3542,81575,21446,1724,467
2479,3542,81541,21417,1727,462
2479,3542,81375,21598,1725,465
2479,3542,81200,21778,1726,463
2479,3542,81967,20945,1714,479
2479,3542,81741,21052,1715,467
2479,3542,81723,20988,1724,495
2479,3542,82793,21726,1737,491
2479,3542,82659,22056,1785,472
2479,3542,83031,22017,1761,463
2479,3542,82236,21857,1760,506
2479,3542,81460,21725,1727,466
2479,3542,82040,20945,1714,467
2479,3542,81605,21071,1714,467
2479,3542,81662,21044,1714,498
2479,3542,81514,21178,1725,504
2479,3542,81523,21511,1715,462
2479,3542,81428,21477,1728,472
2479,3542,81366,21557,1725,498
2479,3542,80659,21682,1725,515
2479,3542,81261,20948,1714,468
2479,3542,81133,20950,1712,490
2479,3542,81238,21090,1725,527
2479,3542,87756,22645,1826,470
2479,3542,81050,21375,1715,467
2479,3542,81031,21515,1725,507
2479,3542,80960,21429,1729,511
2479,3542,88096,22559,1818,467
2479,3542,81527,20955,1714,467
2479,3542,81478,20933,1712,493
2479,3542,82060,21191,1713,461
2479,3542,81962,21387,1724,467
2479,3542,80947,21452,1715,465
2479,3542,81014,21398,1726,515
2479,3542,80814,21404,1723,559
2479,3542,80822,21718,1727,472
2479,3542,81097,20941,1712,482
2479,3542,82362,21009,1733,491
2479,3542,81226,21085,1712,484
2479,3542,81099,21218,1723,473
2479,3542,81115,21500,1716,471
2479,3542,83174,21549,1732,440
2479,3542,80763,21380,1724,526
2479,3542,80720,21742,1724,467
2479,3542,81382,20937,1711,466
2479,3542,81849,21338,1756,470
2479,3542,81364,21076,1714,505
2479,3542,81172,21306,1727,471
2479,3542,80728,21370,1711,486
2479,3542,80121,21696,1723,518
2479,3542,81224,21646,1759,531
2479,3542,80186,21844,1725,462
2479,3542,81970,20942,1713,466
2479,3542,80863,20997,1726,552
2479,3542,81556,20977,1721,558
2479,3542,81359,21282,1714,462
2479,3542,80288,21642,1722,467
2479,3542,80129,21480,1711,489
2479,3542,80929,21677,1723,513
2479,3542,81021,21578,1727,464
2479,3542,81849,20938,1714,471
2479,3542,80579,20966,1712,494
2479,3542,84168,21415,1738,470
2479,3542,81214,21180,1725,471
2479,3542,81225,21376,1724,463
2479,3542,82085,21272,1723,488
2479,3542,80830,21538,1713,511
2479,3542,80005,21611,1721,490
2479,3542,81313,21193,1752,469
2479,3542,81909,21258,1748,466
2479,3542,81205,21188,1713,467
2479,3542,81198,21043,1712,487
2479,3542,81081,21438,1715,473
2479,3542,80984,21062,1729,525
2479,3542,80211,21098,1724,487
2479,3542,81108,21524,1724,528
2479,3542,80980,20934,1710,477
2479,3542,80922,20985,1711,510
2479,3542,80707,21242,1713,462
2479,3542,80712,21233,1722,470
2479,3542,81072,21462,1713,468
2479,3542,81056,21536,1725,512
2479,3542,80888,21474,1725,450
2479,3542,80954,21701,1727,501
2479,3542,81634,20947,1715,468
2479,3542,81660,20974,1715,464
2479,3542,81496,21105,1727,478
2479,3542,81444,21118,1724,465
2479,3542,81103,21471,1711,469
2479,3542,80855,21459,1714,518
2479,3542,80598,21675,1714,486
2479,3542,81110,21607,1719,501
2479,3542,81658,20993,1717,468
2479,3542,81348,20996,1713,494
2479,3542,81142,21055,1713,463
2479,3542,81154,21224,1713,484
2479,3542,81085,21346,1723,476
2479,3542,81084,21364,1728,500
2479,3542,80710,21323,1721,530
2479,3542,80783,21554,1727,523
2479,3542,81712,20937,1713,470
2479,3542,81640,21250,1736,511
2479,3542,81220,21212,1723,468
2479,3542,82088,21160,1720,456
2479,3542,81448,21452,1757,463
2479,3542,81078,21324,1724,484
2479,3542,80931,21567,1718,503
2479,3542,81842,21515,1716,483
2479,3542,81524,20938,1713,472
2479,3542,81427,21065,1725,489
2479,3542,85473,21761,1768,524
2479,3542,81413,21060,1714,527
2479,3542,80995,21392,1723,463
2479,3542,80635,21524,1712,518
2479,3542,84967,21795,1789,463
2479,3542,81281,20952,1713,468
2479,3542,80548,21048,1709,470
2479,3542,81159,21065,1713,491
2479,3542,81192,21149,1718,473
2479,3542,81097,21415,1722,476
2479,3542,80830,21360,1723,460
2479,3542,80072,21490,1713,500
2479,3542,80766,21751,1731,462
2479,3542,81711,20956,1713,468
2479,3542,81435,21018,1733,464
2479,3542,81102,21095,1711,510
2479,3542,81280,21194,1713,538
2479,3542,80899,21314,1713,462
2479,3542,80783,21474,1722,512
2479,3542,80992,21368,1724,589
2479,3542,80829,21949,1723,462
2479,3542,81450,20941,1710,467
2479,3542,81410,21070,1713,467
2479,3542,81244,21137,1723,508
2479,3542,81009,21164,1712,583
2479,3542,81173,21479,1711,471
2479,3542,81133,21279,1726,499
2479,3542,80988,21521,1722,546
2479,3542,80867,21811,1723,462
2479,3542,81886,21309,1732,476
2479,3542,82085,21327,1764,469
2479,3542,80979,21042,1710,487
2479,3542,83729,21451,1734,463
2479,3542,80903,21380,1730,492
2479,3542,80942,21488,1714,539
2479,3542,81858,21644,1721,446
2479,3542,80670,21730,1722,464
2479,3542,81541,20939,1712,471
2479,3542,80982,21049,1710,466
2479,3542,81254,21017,1731,484
2479,3542,81315,21324,1730,462
2479,3542,81006,21464,1733,496
2479,3542,80793,21341,1713,522
2479,3542,80943,21639,1726,455
2479,3542,80719,21825,1723,476
2479,3542,81579,20954,1712,467
2479,3542,81282,21077,1714,486
2479,3542,81338,21055,1713,526
2479,3542,81675,21350,1724,470
2479,3542,81374,21355,1727,501
2479,3542,81003,21323,1714,517
2479,3542,80883,21492,1724,451
2479,3542,80903,21847,1725,461
2479,3542,81569,20940,1713,470
2479,3542,81651,21034,1726,483
2479,3542,81442,21078,1713,522
2471,3531,80425,21183,1731,460
2479,3542,81379,21351,1714,503
2479,3542,81008,21642,1723,466
2479,3542,81122,21765,1728,463
2479,3542,81591,20950,1715,501
2479,3542,81424,21065,1714,467
2479,3542,81362,21069,1713,506
2479,3542,81384,21254,1716,471
2479,3542,81233,21321,1715,493
2479,3542,81438,21294,1725,467
2479,3542,81237,21649,1725,462
2479,3542,81297,21689,1726,466
2479,3542,82224,20950,1714,467
2479,3542,81772,21016,1726,462
2479,3542,82471,21367,1752,503
2479,3542,81377,21339,1715,462
2479,3542,81201,21339,1716,516
2479,3542,81856,21615,1765,515
2479,3542,81351,21757,1745,463
2479,3542,80880,21857,1726,462
2479,3542,82430,21001,1721,470
2479,3542,81293,21077,1713,467
2479,3542,81382,21050,1714,486
2479,3542,81101,21235,1723,461
2479,3542,81072,21268,1713,522
2479,3542,80912,21499,1723,463
2479,3542,83128,21539,1731,465
2479,3542,80820,21650,1724,462
2479,3542,81756,20942,1714,467
2479,3542,81475,21070,1714,471
2479,3542,81562,21113,1714,512
2479,3542,81181,21255,1714,463
2479,3542,81240,21248,1724,525
2479,3542,80922,21475,1724,467
2479,3542,81059,21613,1724,466
2479,3542,81204,21767,1728,469
2479,3542,82011,20953,1715,472
2479,3542,81844,21021,1716,480
2479,3542,81457,21078,1715,513
2479,3542,81374,21241,1725,467
2479,3542,81480,21387,1726,522
2479,3542,81171,21588,1724,463
2479,3542,81312,21526,1727,473
2479,3542,81137,21878,1728,466
2479,3542,81749,20997,1715,467
2479,3542,81617,21043,1715,466
2479,3542,81795,21057,1717,525
2479,3542,81530,21336,1714,470
2479,3542,81011,21209,1725,513
2479,3542,80739,21439,1722,464
2479,3542,80839,21529,1724,474
2479,3542,80856,21722,1726,465
2479,3542,81493,20943,1719,467
2479,3542,81312,21016,1709,478
2479,3542,81224,21171,1716,464
2479,3542,81258,21542,1714,468
2479,3542,81292,21278,1727,505
2479,3542,80678,21584,1721,463
2479,3542,81329,21824,1753,480
2479,3542,80658,21598,1726,465
2479,3542,84326,21531,1776,468
2479,3542,83458,22613,1750,498
2479,3542,86870,21678,1820,464
2479,3542,84989,21747,1732,516
2479,3542,84772,21763,1844,466
2479,3542,86100,21812,1726,468
2479,3542,87207,22416,1853,505
2479,3542,84654,22772,1760,549
2479,3542,81659,21593,1744,483
2479,3542,82586,22048,1993,503
2479,3542,80702,21254,1712,485
2479,3542,81779,21726,1862,489
2479,3542,80979,21731,1714,474
2479,3542,80769,21585,1721,468
2479,3542,82077,21909,1767,462
2479,3542,81343,21028,1718,466
2479,3542,80960,21323,1761,473
2479,3542,80552,21125,1716,451
2479,3542,80584,21652,1717,512
2479,3542,80582,21337,1727,448
2479,3542,81294,21738,1719,461
2479,3542,81228,21576,1744,468
2479,3542,81414,21936,1727,462
2479,3542,82310,21015,1720,468
2479,3542,81711,21087,1714,485
2479,3542,81547,21083,1713,515
2479,3542,81669,21352,1711,491
2479,3542,81761,21756,1724,566
2479,3542,80990,21666,1724,459
2479,3542,81079,21662,1725,464
2479,3542,82096,21945,1756,463
2479,3542,82029,20961,1714,478
2479,3542,81166,21482,1797,468
2479,3542,82234,21250,1759,493
2479,3542,81267,21467,1720,542
2479,3542,80880,22437,1735,474
2479,3542,80795,21573,1719,462
2479,3542,81111,21768,1716,466
2479,3542,80479,21976,1724,463
2479,3542,81262,20938,1710,474
2479,3542,80999,21085,1725,468
2479,3542,80979,21438,1736,485
2479,3542,80753,21379,1719,461
2479,3542,80896,22448,1722,469
2479,3542,81024,21741,1713,464
2479,3542,80825,21650,1720,487
2479,3542,81484,21932,1726,462
2479,3542,82915,21038,1724,467
2479,3542,82099,21359,1736,467
2479,3542,82653,21238,1727,458
2479,3542,81738,21352,1741,590
2479,3542,83628,21573,1760,463
2479,3542,81133,21599,1707,523
2479,3542,81204,21439,1709,493
2479,3542,84233,22283,1743,471
2479,3542,82928,21276,1775,470
2479,3542,81711,21094,1718,465
2479,3542,81619,21079,1714,469
2479,3542,82442,21213,1728,519
2479,3542,81630,21725,1717,471
2479,3542,80836,21387,1722,455
2479,3542,81108,21672,1713,543
2479,3542,82212,21839,1783,485
2479,3542,82010,21004,1716,466
2479,3542,81620,21131,1717,464
2479,3542,81699,21245,1714,548
2479,3542,81969,21504,1730,519
2479,3542,81173,21497,1725,473
2479,3542,81500,21858,1741,487
2479,3542,81460,21945,1725,506
2479,3542,81274,21934,1741,464
2479,3542,82204,21172,1777,467
2479,3542,80530,21126,1773,467
2479,3542,80875,21399,1782,458
2479,3542,84439,21715,1804,475
2479,3542,80686,21199,1725,478
2479,3542,80725,21772,1759,522
2479,3542,81922,21709,1833,488
2479,3542,80284,21863,1721,463
2479,3542,82168,20962,1714,468
2479,3542,81397,21559,1752,472
2479,3542,82700,21496,1762,464
2479,3542,80556,21170,1711,484
2479,3542,81732,21283,1724,516
2479,3542,81735,21813,1766,470
2479,3542,81446,21622,1725,486
2479,3542,81606,22036,1770,461
2479,3542,82494,21018,1716,473
2479,3542,81237,21109,1712,470
2479,3542,83705,21392,1758,496
2479,3542,80493,21060,1720,523
2479,3542,80204,21437,1710,469
2479,3542,86533,22199,1793,496
2479,3542,87039,22222,1821,463
2479,3542,81501,21793,1732,463
2479,3542,80696,20930,1708,471
2479,3542,81008,21179,1714,463
2479,3542,80532,21137,1720,467
2479,3542,82067,21259,1717,460
2479,3542,82155,21506,1760,462
2479,3542,80565,21502,1744,464
2479,3542,81608,21762,1715,474
2479,3542,80252,22020,1725,470
2479,3542,82275,20993,1722,471
2479,3542,80916,21187,1726,490
2479,3542,81934,21289,1745,509
2479,3542,80630,21226,1719,558
2479,3542,80627,21481,1719,463
2479,3542,81618,21593,1716,490
2479,3542,80222,21828,1746,474
2479,3542,80716,21936,1723,463
2479,3542,86406,21823,1786,468
2479,3542,81958,21159,1717,468
2479,3542,87560,21852,1818,462
2479,3542,87702,22180,1818,495
2479,3542,84115,21840,1784,471
2479,3542,88525,22266,1793,470
2479,3542,83208,21867,1805,463
2479,3542,81529,21805,1731,507
2479,3542,82166,20955,1715,467
2479,3542,82134,21093,1714,472
2479,3542,81908,21240,1728,468
2479,3542,82511,21418,1723,474
2479,3542,82892,21563,1721,467
2479,3542,81558,22091,1725,463
2479,3542,82080,21817,1729,485
2479,3542,84483,21675,1736,492
2479,3542,83215,21013,1717,466
2479,3542,82395,21111,1725,482
2479,3542,81767,21192,1721,464
2479,3542,81417,21252,1712,466
2479,3542,81079,21764,1756,473
2479,3542,81475,21823,1767,462
2479,3542,80548,21884,1756,502
2479,3542,80971,21919,1739,491
